Year,Crude Oil,Oil Product,Gas
1996,5711.8,1516.1,4493.9
1997,5480,1302.5,4840.1
1998,3348.6,708.1,3815.5
1999,4517.3,918,4357
2000,6090.1,1651.6,6624.9
2001,5714.7,1189.5,5732.2
2002,5227.6,1307.5,5577.6
2003,5621,1553.7,6476.7
2004,6241.4,1654.4,7749.6
2005,8145.8,1932,9153.7
2006,8168.8,2843.6,10197.1
2007,9226,2878.8,9983.8
2008,12418.7,3547,13160.5
2009,7820.3,2262.3,8935.7
2010,10402.9,3967.3,13669.4
2011,13828.7,4776.8,22871.5
2012,12293.4,4163.4,20520.5
2013,10204.7,4299.1,18129.2
2014,9215,3623.5,17180.3
2015,6479.4,1754.2,10340.8
2016,5196.7,872,7036.8
2017,5354.9,1643,8746.5
2018,5151.9,1642.5,10377.3
